TimeStamp,ch1,ch2,ch3,ch4
1213267.0432,5888.84,34684.33,35074.19,36233.38
1213267.0472,5891.99,34684.95,35073.48,36232.52
1213267.0512,5893.14,34690.96,35074.05,36233.86
1213267.0552,5902.62,34696.25,35079.86,36240.25
1213267.0592,5903.29,34690.77,35079.24,36240.39
1213267.0632,5908.2,34690.53,35077.86,36239.77
1213267.0672,5912.69,34685.85,35073.67,36238.29
1213267.0712,5911.45,34690.57,35074.43,36240.3
1213267.0752,5911.06,34693.91,35075.24,36241.2
1213267.0792,5913.21,34678.51,35065.08,36234.53
1213267.0832,5911.3,34684.09,35063.37,36232.38
1213267.0872,5902.91,34662.44,35053.78,36224.89
1213267.0912,5909.4,34667.21,35057.69,36228.8
1213267.0952,5896.9,34663.2,35052.11,36222.46
1213267.0992,5872.97,34660.3,35045.87,36214.98
1213267.1032,5857.85,34652.67,35037.9,36204.1
1213267.1072,5842.59,34648.71,35027.65,36192.09
1213267.1112,5839.06,34648.71,35025.31,36191.42
1213267.1152,5841.69,34648.9,35026.6,36196.76
1213267.1192,5844.4,34650.95,35025.31,36194.76
1213267.1232,5850.46,34653.62,35028.75,36193.33
1213267.1272,5861.62,34662.58,35036.57,36201.91
1213267.1312,5871.34,34668.55,35044.05,36206.68
1213267.1352,5883.27,34685.28,35059.22,36221.56
1213267.1392,5877.3,34683.66,35055.36,36219.65
1213267.1432,5886.27,34681.04,35052.49,36216.64
1213267.1469,5888.51,34666.97,35052.35,36216.55
1213267.1509,5892.33,34678.75,35059.36,36222.8
1213267.1549,5902.15,34686.47,35062.32,36229.33
1213267.1589,5903.15,34680.66,35051.25,36219.12
1213267.1629,5892.04,34660.15,35039.67,36209.4
1213267.1669,5897.71,34663.49,35041.43,36210.11
1213267.1709,5893.04,34662.39,35039.38,36205.58
1213267.1749,5882.07,34663.16,35040.76,36207.35
1213267.1789,5885.32,34665.92,35043.24,36214.88
1213267.1829,5870.87,34654.91,35034.14,36205.68
1213267.1869,5867.62,34659.29,35038.38,36208.2
1213267.1909,5858.95,34656.72,35032.75,36201.77
1213267.1949,5843.21,34652.95,35025.98,36198.1
1213267.1989,5838.3,34651.28,35022.12,36196.05
1213267.2029,5827.86,34652.81,35023.12,36200.1
1213267.2069,5820.08,34655.77,35023.17,36198.57
1213267.2109,5813.6,34659.29,35023.98,36198.62
1213267.2149,5817.18,34665.4,35023.07,36199.24
1213267.2189,5816.65,34644.75,35018.31,36200.15
1213267.2229,5840.83,34659.82,35036.62,36218.89
