TimeStamp,ch1,ch2,ch3,ch4
8557.6353,68223.29,36413.82,32165.96,34111.74
8557.6393,68226.54,36415.96,32172.16,34108.64
8557.6433,68260.39,36450.06,32210.16,34139.59
8557.6473,68266.59,36457.97,32217.12,34151.56
8557.6513,68245.32,36439.8,32194.09,34130.48
8557.6553,68249.28,36443.29,32196.81,34129.53
8557.6593,68256.58,36449.15,32201.96,34125.62
8557.6633,68264.83,36451.77,32211.12,34130.1
8557.6673,68272.31,36451.96,32217.46,34142.55
8557.6713,68249.9,36431.65,32192.09,34124.9
8557.6753,68234.88,36421.16,32179.5,34109.07
8557.6793,68238.7,36427.36,32189.47,34110.6
8557.6833,68222.96,36414.68,32170.39,34098.06
8557.6873,68226.49,36421.02,32171.16,34110.65
8557.6913,68231.4,36424.07,32176.78,34119.9
8557.6953,68240.08,36430.51,32187.32,34123.23
8557.6993,68241.51,36431.94,32183.89,34117.27
8557.7033,68227.68,36411.39,32174.5,34102.78
8557.7073,68208.56,36389.07,32159.38,34089.76
8557.7113,68212.71,36392.74,32162.38,34093.96
8557.7153,68212.42,36395.03,32162.57,34090.24
8557.7193,68232.45,36420.45,32185.37,34107.69
8557.7231,68263.44,36449.1,32225.99,34135.97
8557.7271,68279.23,36461.64,32243.06,34159.28
8557.7311,68253.81,36437.85,32202.25,34141.02
8557.7351,68234.64,36420.4,32183.08,34119.75
8557.7391,68240.08,36421.59,32195.38,34117.37
8557.7431,68253.72,36429.84,32220.89,34125.38
8557.7471,68225.96,36401.18,32176.93,34104.64
8557.7511,68221.91,36398.32,32169.44,34105.4
8557.7551,68230.16,36404.8,32177.36,34108.21
8557.7591,68246.42,36418.2,32194.09,34115.27
8557.7631,68254.53,36424.31,32210.02,34123.09
8557.7671,68248.14,36415.1,32196.95,34123.95
8557.7711,68250.38,36418.97,32194.05,34130.39
8557.7751,68237.27,36413.58,32182.22,34115.41
8557.7791,68257.01,36431.08,32206.87,34128.96
8557.7831,68253.43,36423.54,32224.37,34120.85
8557.7871,68229.78,36396.56,32192.76,34104.78
8557.7911,68252.95,36424.69,32195.38,34132.68
8557.7951,68250.47,36422.5,32195.62,34127.33
8557.7991,68234.26,36407.76,32174.16,34105.26
8557.8031,68223.53,36394.74,32159.76,34090.33
8557.8071,68238.12,36404.28,32182.41,34109.17
8557.8111,68222.34,36390.02,32173.07,34099.06
8557.8151,68208.13,36376.62,32156.42,34080.89
8557.8191,68215.33,36385.73,32167.87,34082.23
8557.8231,68220.58,36391.5,32178.45,34086.61
8557.8271,68236.88,36402.85,32192.9,34108.83
8557.8311,68221.39,36390.45,32179.31,34098.2
8557.8351,68208.18,36378.77,32165.67,34080.89
8557.8391,68207.22,36375.34,32161.86,34074.93
8557.8431,68213.66,36380.49,32171.21,34082.13
8557.8471,68180.86,36344.68,32148.56,34056.86
8557.8511,68189.39,36358.74,32152.08,34069.59
8557.8548,68209.08,36382.82,32162.53,34089.52
8557.8588,68216.0,36391.02,32169.63,34095.77
8557.8628,68242.46,36417.11,32195.86,34122.85
8557.8668,68229.16,36396.27,32181.84,34111.27
8557.8708,68212.66,36380.58,32167.58,34094.1
8557.8748,68214.38,36383.3,32166.91,34094.48
8557.8788,68237.69,36412.1,32189.8,34114.51
8557.8828,68227.16,36401.56,32181.55,34100.35
8557.8868,68242.22,36410.77,32195.76,34119.99
8557.8908,68236.26,36402.61,32189.04,34116.27
8557.8948,68235.83,36406.66,32186.18,34111.65
8557.8988,68216.57,36389.83,32164.63,34087.76
8557.9028,68178.47,36346.87,32131.39,34048.13
8557.9068,68190.15,36359.51,32140.83,34065.44
8557.9108,68189.01,36357.93,32140.93,34069.73
8557.9148,68195.26,36365.7,32147.51,34074.74
8557.9188,68169.08,36340.86,32121.66,34042.27
8557.9228,68195.07,36365.66,32149.84,34065.49
8557.9268,68204.84,36372.81,32158.86,34080.89
8557.9308,68193.25,36358.46,32145.22,34072.88
8557.9348,68193.16,36358.17,32142.98,34067.59
8557.9388,68201.6,36368.57,32153.71,34070.78
8557.9428,68193.16,36356.74,32148.03,34058.34
8557.9468,68195.97,36355.31,32150.99,34066.49
8557.9508,68193.87,36356.64,32148.17,34071.16
8557.9548,68188.39,36350.64,32142.98,34063.01
8557.9588,68170.98,36333.66,32126.38,34041.55
8557.9628,68218.38,36383.2,32174.78,34089.52
8557.9668,68221.82,36386.64,32175.45,34099.73
8557.9708,68182.1,36348.16,32132.15,34061.77
8557.9748,68177.14,36343.48,32125.67,34055.9
8557.9788,68174.47,36336.09,32125.0,34048.7
8557.9828,68173.89,36334.42,32126.48,34044.6
8557.9865,68174.37,36335.95,32128.77,34053.0
8557.9905,68173.04,36340.53,32125.95,34056.05
8557.9945,68170.6,36341.24,32124.48,34049.9
8557.9985,68146.76,36316.07,32107.4,34022.24
8558.0025,68158.97,36323.93,32122.62,34031.3
8558.0065,68167.84,36327.27,32126.34,34043.89
8558.0105,68174.8,36337.28,32129.58,34053.9
8558.0145,68152.48,36321.64,32106.36,34028.68
8558.0185,68141.75,36311.73,32097.2,34013.28
8558.0225,68173.61,36338.48,32134.73,34045.89
8558.0265,68165.17,36328.51,32128.77,34045.84
8558.0305,68139.51,36304.05,32097.63,34022.96
8558.0345,68150.86,36318.21,32107.02,34030.68
8558.0385,68173.51,36339.72,32128.86,34046.94
8558.0425,68194.64,36363.03,32156.09,34067.35
8558.0465,68172.03,36343.34,32128.96,34054.0
8558.0505,68163.12,36335.42,32118.04,34050.37
8558.0545,68155.96,36327.99,32111.22,34039.6
8558.0585,68148.29,36317.5,32106.93,34027.77
8558.0625,68151.82,36317.97,32109.93,34028.25
8558.0665,68140.99,36305.34,32099.2,34023.77
8558.0705,68130.5,36298.18,32087.95,34014.52
8558.0745,68134.65,36303.14,32088.71,34014.42
8558.0785,68133.79,36299.04,32088.43,34007.79
8558.0825,68153.25,36317.4,32111.6,34022.76
8558.0865,68143.85,36309.44,32106.64,34023.29
8558.0905,68161.21,36325.03,32132.77,34046.08
8558.0945,68133.98,36300.33,32104.07,34015.37
8558.0985,68121.82,36290.36,32085.71,33999.73
8558.1025,68107.14,36273.05,32069.64,33978.32
8558.1065,68124.25,36285.69,32088.9,33999.26
8558.1105,68121.01,36285.6,32079.37,33999.54
8558.1145,68112.52,36281.4,32066.02,33992.63
8558.1182,68103.75,36270.72,32067.49,33981.28
8558.1222,68115.53,36281.11,32090.81,33989.29
8558.1262,68117.77,36288.22,32079.08,33999.64
8558.1302,68120.06,36292.6,32081.04,34005.07
8558.1342,68077.76,36251.69,32039.03,33961.25
8558.1382,68082.96,36253.89,32043.79,33960.2
8558.1422,68098.93,36270.1,32065.54,33975.84
8558.1462,68108.52,36277.68,32068.69,33987.29
8558.1502,68085.3,36250.6,32041.12,33967.02
8558.1542,68101.65,36268.72,32058.77,33978.99
8558.1582,68096.55,36266.81,32065.59,33967.55
8558.1622,68094.88,36270.38,32054.86,33968.36
8558.1662,68093.55,36262.33,32051.85,33969.6
8558.1702,68088.11,36257.03,32045.32,33964.92
8558.1742,68109.81,36278.35,32069.59,33982.28
8558.1782,68131.5,36299.04,32082.85,33997.59
8558.1822,68128.36,36294.51,32085.14,33990.29
8558.1862,68104.42,36268.72,32059.34,33972.89
8558.1902,68107.42,36273.05,32056.29,33983.14
8558.1942,68095.88,36267.43,32049.71,33972.51
8558.1982,68064.46,36238.48,32027.68,33936.65
8558.2022,68063.79,36241.92,32027.01,33935.65
8558.2062,68064.51,36244.4,32025.1,33942.75
8558.2102,68079.62,36254.6,32042.32,33961.4
8558.2142,68067.42,36240.2,32025.29,33948.57
8558.2182,68076.28,36249.21,32026.06,33951.76
8558.2222,68065.17,36230.85,32020.81,33937.17
8558.2262,68084.39,36248.59,32042.03,33960.54
8558.2302,68103.94,36269.1,32061.77,33985.09
8558.2342,68104.7,36273.39,32063.15,33986.24
8558.2382,68082.44,36253.03,32041.84,33958.96
8558.2422,68065.56,36236.48,32029.3,33939.27
8558.2462,68057.93,36225.99,32021.96,33937.03
8558.25,68064.89,36230.23,32023.1,33946.9
8558.254,68071.09,36238.67,32028.15,33948.14
8558.258,68065.08,36235.0,32021.62,33934.64
8558.262,68069.66,36240.01,32029.49,33937.84
8558.266,68065.03,36230.38,32020.38,33938.32
8558.27,68069.7,36233.14,32022.29,33943.32
8558.274,68056.88,36223.75,32010.99,33930.35
8558.278,68058.4,36222.8,32013.47,33926.4
8558.282,68060.93,36227.71,32018.09,33927.97
8558.286,68077.76,36241.96,32036.59,33952.29
8558.29,68056.4,36222.18,32012.9,33933.17
8558.294,68057.4,36223.99,32011.94,33928.64
8558.298,68051.3,36212.64,32004.31,33914.76
8558.302,68043.53,36203.01,31997.92,33903.22
8558.306,68072.04,36231.0,32027.44,33936.31
8558.31,68063.22,36225.23,32014.8,33933.55
8558.314,68049.11,36217.6,32003.74,33920.63
8558.318,68037.09,36206.77,31994.3,33906.18
8558.322,68055.21,36227.18,32013.32,33921.25
8558.326,68040.67,36210.49,31998.16,33912.57
8558.33,68029.08,36199.62,31985.29,33907.13
8558.334,68037.9,36211.49,31991.87,33912.66
8558.338,68034.08,36204.96,31984.86,33904.46
8558.342,68023.26,36193.57,31978.04,33894.45
8558.346,68038.42,36205.49,31992.34,33916.76
8558.35,68042.57,36212.64,31995.49,33926.92
8558.354,68033.23,36207.49,31985.57,33914.67
8558.358,68003.95,36171.63,31960.63,33877.81
8558.362,68012.77,36178.4,31970.7,33882.05
8558.366,68006.29,36168.72,31967.93,33881.0
8558.37,68005.71,36166.86,31962.78,33881.53
8558.374,68004.23,36168.29,31959.11,33874.71
8558.378,68008.96,36169.58,31967.79,33873.28
