TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1213276.753,891.942,-194.59,-404.43,-1653.75,17.5,-1697.5,1252.48,-135.28,79.04
1213276.803,892.674,-188.612,-403.332,-1575.0,140.0,-2021.25,1258.56,-150.48,82.08
1213276.853,893.528,-189.893,-405.101,-1828.75,245.0,-1750.0,1243.36,-141.36,79.04
1213276.903,886.33,-190.869,-399.184,-1190.0,-691.25,-1531.25,1263.12,-139.84,86.64
1213276.953,895.114,-187.575,-399.733,-892.5,-752.5,-1452.5,1263.12,-148.96,72.96
1213277.003,894.565,-189.832,-401.319,-1863.75,-603.75,-1111.25,1257.04,-136.8,82.08
1213277.053,893.833,-190.381,-399.794,-1557.5,-175.0,-1251.25,1258.56,-135.28,79.04
1213277.103,891.515,-189.466,-401.258,-1330.0,-210.0,-1015.0,1255.52,-135.28,77.52
1213277.153,892.796,-186.355,-403.942,-1618.75,-918.75,-1505.0,1266.16,-144.4,80.56
1213277.203,892.857,-188.795,-400.343,-332.5,393.75,-1242.5,1249.44,-141.36,95.76
1213277.253,887.977,-190.991,-396.561,-1093.75,175.0,-997.5,1264.64,-141.36,85.12
1213277.303,888.77,-191.723,-400.221,-901.25,-962.5,-840.0,1270.72,-138.32,94.24
1213277.353,892.735,-194.346,-404.43,-1155.0,-901.25,-1120.0,1267.68,-139.84,71.44
1213277.403,894.382,-189.832,-403.149,-2021.25,-332.5,-1645.0,1261.6,-141.36,82.08
1213277.453,891.881,-190.381,-399.489,-1540.0,-52.5,-1715.0,1250.96,-127.68,69.92
1213277.503,889.868,-187.331,-398.574,-2003.75,-52.5,-1575.0,1266.16,-135.28,79.04
1213277.553,897.371,-190.442,-399.611,-1942.5,105.0,-1758.75,1247.92,-142.88,66.88
1213277.603,893.467,-184.281,-401.014,-971.25,-288.75,-1540.0,1261.6,-142.88,89.68
1213277.653,893.467,-185.806,-400.16,-1356.25,-411.25,-1146.25,1249.44,-136.8,68.4
1213277.703,893.101,-190.32,-399.611,-1032.5,-367.5,-1391.25,1252.48,-144.4,92.72
1213277.753,895.724,-188.978,-401.38,-1225.0,-350.0,-1452.5,1267.68,-139.84,101.84
1213277.803,890.844,-190.503,-400.404,-1680.0,-472.5,-901.25,1243.36,-138.32,71.44
1213277.853,893.589,-196.969,-401.502,-1531.25,-717.5,-778.75,1267.68,-117.04,74.48
1213277.903,902.373,-191.357,-404.003,-2047.5,717.5,-1837.5,1266.16,-141.36,69.92
1213277.953,893.711,-190.381,-392.901,-787.5,717.5,-1723.75,1263.12,-133.76,66.88
1213278.003,891.271,-190.076,-392.84,-770.0,673.75,-1811.25,1276.8,-153.52,80.56
1213278.053,898.286,-187.331,-395.463,-1688.75,-472.5,-1303.75,1250.96,-144.4,71.44
1213278.103,896.151,-195.383,-396.561,-1338.75,-358.75,-1268.75,1270.72,-135.28,82.08
1213278.153,892.491,-188.124,-396.866,-1881.25,-568.75,-1820.0,1249.44,-139.84,80.56
1213278.203,895.236,-185.684,-396.5,-1846.25,-752.5,-1347.5,1266.16,-139.84,85.12
1213278.253,894.87,-188.734,-397.293,-1881.25,-962.5,-1426.25,1275.28,-139.84,85.12
1213278.303,895.907,-185.562,-403.21,-2012.5,-962.5,-1461.25,1254.0,-147.44,77.52
1213278.353,896.151,-187.453,-400.892,-2038.75,-647.5,-1172.5,1267.68,-153.52,82.08
1213278.403,893.772,-189.405,-398.269,-1146.25,-533.75,-1338.75,1241.84,-138.32,76.0
1213278.453,893.406,-189.466,-398.696,-726.25,-446.25,-1347.5,1266.16,-141.36,71.44
